projet,concours,chercheur,rôle,établissement,Pays,Province / Territoire
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Levesque, Maroussia",Collaborateur,Harvard University,États-Unis,États-Unis
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"meyer, manulani",Cocandidat,University of Hawaii West Oahu,États-Unis,
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Amos, Kelsey",Cocandidat,Purple Mai'a Foundation,États-Unis,Hawaii
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"First Rider, Amethyst",Collaborateur,Iinii Initiative,États-Unis,
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Grimm, Holly",Collaborateur,Sustia LLC,États-Unis,Nouveau Mexique
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Kealoha, Donavan",Collaborateur,Purple Mai'a Foundation,États-Unis,Hawaii
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Tsosie, Krystal",Cocandidat,Native BioData Consortium,États-Unis,
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Witehira, Johnson",Cocandidat,Indigenous Design and Innovation Aotearoa,États-Unis,Dakota du Sud
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Whaanga, Hēmi",Cochercheur principal,University of Waikato,Nouvelle-Zélande,Hamilton
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Smith, Linda",Cocandidat,Te Whare Wananga o Awanuiarangi,Nouvelle-Zélande,
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Temara, Pou",Cocandidat,Te Whare Wananga o Awanuiarangi,Nouvelle-Zélande,
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Badger, Jim",Collaborateur,Sucker Creek First Nation (Region 11),Canada,Alberta
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Crowshoe, Reg",Collaborateur,Piikani First Nation (Region 19),Canada,Alberta
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Lepine, Melody",Collaborateur,Mikisew Cree First Nation (Region 11),Canada,Alberta
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Littlechild, Josh",Collaborateur,Ermineskin Cree Nation (Region 11),Canada,Alberta
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Provost, Ira",Collaborateur,Piikani Nation (Region 19),Canada,Alberta
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Yellowbird, Kacey",Collaborateur,Samson Cree Nation (Region 11),Canada,Alberta
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Choque Quispe, María Eugenia",Cocandidat,Centro de Estudios Multidisciplinarios Aymara,Bolivie,Aymara
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Lowe, Lana",Collaborateur,Fort Nelson First Nation (Region 15),Canada,Colombie-Britannique
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Napoleon, Art",Collaborateur,Saulteau First Nations (Region 15),Canada,Colombie-Britannique
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Porter, Corrine",Cocandidat,Dena Kayeh Institute,Canada,Colombie-Britannique
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Argumedo, Alejandro",Cocandidat,Asociacion ANDES,Pérou,Cusco
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Arbachakov, Alexander",Cocandidat,Council of Elders of the Shor People,Russie,Kouzbass
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Arbachakov, Luba",Collaborateur,Shor Nation (Region 23),Russie,Kouzbass
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Roe, Dilys",Collaborateur,Interational Institute for Environment and Development,Angleterre,Londres
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Swiderska, Krystyna",Cocandidat,International Institute for Environment and Development,Angleterre,Londres
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Filmer-Wilson, Emilie",Collaborateur,United Nations Population Fund,États-Unis,New-York
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Pictou, Kara",Collaborateur,The Confederacy of Mainland Mi'kmaq (Region 17),Canada,Nouvelle-Écosse
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Baker, Kukik",Collaborateur,Aqqiumavvik Society (Region 7),Canada,Nunavut
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Bartis, Jami",Collaborateur,"One Fire Associates, LLC (Region 36)",États-Unis,Oklahoma
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Goupil, Sébastien",Collaborateur,UNESCO,Canada,Ontario
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Joseph, Serena",Collaborateur,Waasegiizhig Nanaandawe'iyewigamig Health Access Centre (Region 16),Canada,Ontario
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Coxon, Angela",Collaborateur,Eeyou Marine Region Wildlife Board (Region 14),Canada,Québec
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Gilbert, Gregor",Collaborateur,Makivik Corporation (Region 8),Canada,Québec
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Andreeva, Tamara",Collaborateur,Snowchange Collective (Region 24),Russie,République de Sakha
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Fernández de Larrinoa, Yon",Collaborateur,Food and Agricultural Organization of the United Nations (FAO),Italie,Rome
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Tsannie, Joseph",Collaborateur,Prince Albert Grand Council (Region 12),Canada,Saskatchewan
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Courtois, Valérie",Cocandidat,Indigenous Leadership Initiative,Canada,Terre-Neuve-et-Labrador
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Baxter, Jennifer Fresque",Collaborateur,Government of NWT,Canada,Territoires du Nord-Ouest
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Blondi-Andrew, Ethel",Collaborateur,Sahtu Dene (Region 5),Canada,Territoires du Nord-Ouest
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Catholique, JC",Collaborateur,Lutsel K'e Dene First Nation (Region 6),Canada,Territoires du Nord-Ouest
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Drygeese, Dennis",Collaborateur,Lutsel K'e Dene First Nation (Region 6),Canada,Territoires du Nord-Ouest
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Giroux, Diane",Collaborateur,Akaitcho First Nations (Region 5),Canada,Territoires du Nord-Ouest
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Lam, Jen",Collaborateur,Inuvialuit Game Council (Region 1),Canada,Territoires du Nord-Ouest
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Lord, Sarah",Collaborateur,Gwich'in Renewable Resources Board (Region 3),Canada,Territoires du Nord-Ouest
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Low, Mike",Collaborateur,Deh cho First Nations (Region 5),Canada,Territoires du Nord-Ouest
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Michel, Laura Jane",Collaborateur,Lutsel K'e Dene First Nation (Region 6),Canada,Territoires du Nord-Ouest
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Pascal, Wanda",Collaborateur,Tetlit Zheh - Tetlit Gwich'in Council (Region 5),Canada,Territoires du Nord-Ouest
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Pokiak, Frank",Collaborateur,Inuvialuit Game Council (Region 1),Canada,Territoires du Nord-Ouest
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Simmons, Deborah",Cocandidat,Sahtu' Renewable Resources Board,Canada,Territoires du Nord-Ouest
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Snowshoe, Sharon",Collaborateur,Gwich'in Tribal Council (Region 3),Canada,Territoires du Nord-Ouest
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Zoe, John B.",Collaborateur,Tlicho Government (Region 5),Canada,Territoires du Nord-Ouest
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Meinzen-Dick, Ruth",Cocandidat,International Food Policy Research Institute,États-Unis,Washington
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Hogan, Joella",Collaborateur,Nacho Nyak Dun First Nation (Region 4),Canada,Yukon
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Huntington, Henry",Collaborateur,Independent Consultant (Region 21),-,
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Moctar, Abdourahmane Ag",Collaborateur,Self-employed,-,
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Silvano, Renato",Cocandidat,Universidade Federal do Rio Grande do Sul,Brésil,Rio Grande do Sul
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Simao Seixas, Cristiana",Cocandidat,University of Campinas,Brésil,São Paulo
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Yawanawà, Laura",Collaborateur,Yawanawá people (Region 40),Brésil,
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Yawanawà, Tashka",Collaborateur,Yawanawá people (Region 40),Brésil,
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Abele, Frances",Cocandidat,Carleton University,Canada,Ontario
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Berkes, Fikret",Cocandidat,University of Manitoba,Canada,Manitoba
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Charles, Anthony",Cocandidat,Saint Mary's University,Canada,Nouvelle-Écosse
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Clark, Douglas",Cocandidat,University of Saskatchewan,Canada,Saskatchewan
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Cunsolo, Ashlee",Cocandidat,Memorial University of Newfoundland,Canada,Terre-Neuve-et-Labrador
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Davidson-Hunt, Iain",Cocandidat,University of Manitoba,Canada,Manitoba
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Delormier, Treena",Cocandidat,Université McGill,Canada,Québec
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Fox, Shari",Collaborateur,Carleton University (Region 2),Canada,Ontario
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Fraser, Taylor",Collaborateur,Carleton University,Canada,Ontario
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Furgal, Christopher",Cocandidat,Trent University,Canada,Ontario
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Gislason, Maya",Collaborateur,Simon Fraser University,Canada,Colombie-Britannique
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Glanfield, Florence",Collaborateur,University of Alberta,Canada,Alberta
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Goddard, Ellen",Cocandidat,University of Alberta,Canada,Alberta
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Harper, Sherilee",Cocandidat,University of Alberta,Canada,Alberta
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Hogue, Michelle",Collaborateur,University of Lethbridge (Region 33),Canada,Alberta
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Humphries, Murray",Cochercheur principal,Université McGill,Canada,Québec
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Kirmayer, Laurence",Collaborateur,Université McGill,Canada,Québec
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Kolopenuk, Jessica",Collaborateur,University of Alberta,Canada,Alberta
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Kuhnlein, Harriet",Collaborateur,Université McGill,Canada,Québec
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Kutz, Susan",Cocandidat,University of Calgary,Canada,Alberta
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Lantz, Trevor",Cocandidat,University of Victoria,Canada,Colombie-Britannique
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Littlechild, Danika",Cochercheur principal,Carleton University,Canada,Ontario
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"McKenzie, Debbie",Cocandidat,University of Alberta,Canada,Alberta
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Melgar-Quinonez, Hugo",Cocandidat,Université McGill,Canada,Québec
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Napoleon, Val",Cocandidat,University of Victoria,Canada,Colombie-Britannique
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Nayak, Prateep",Cocandidat,University of Waterloo,Canada,Ontario
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"O'Neil, John",Cochercheur principal,Simon Fraser University,Canada,Colombie-Britannique
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Parkins, John",Cocandidat,University of Alberta,Canada,Alberta
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Parlee, Brenda",Chercheur principal désigné,University of Alberta,Canada,Alberta
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Poesch, Mark",Cocandidat,University of Alberta,Canada,Alberta
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Popp, Jesse",Cocandidat,University of Guelph,Canada,Ontario
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Pulsifer, Peter",Cocandidat,Carleton University,Canada,Ontario
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Reid, Andrea",Cocandidat,The University of British Columbia,Canada,Colombie-Britannique
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Roth, Robin",Cocandidat,University of Guelph,Canada,Ontario
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Schmiegelow, Fiona",Cocandidat,University of Alberta,Canada,Alberta
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Southcott, Chris",Cocandidat,Lakehead University,Canada,Ontario
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"TallBear-Dauphine, Kimberly",Cocandidat,University of Alberta,Canada,Alberta
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Turner, Nancy",Collaborateur,University of Victoria,Canada,Colombie-Britannique
