projet,concours,chercheur,établissement,type affiliation
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Alook, Sharlene",Bigstone Cree First Nation (Region 11),Premières nations
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Hutchison, Matthew",Biogen,Industriel / Corporatif
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Macdonald, Tara",Biologica Environmental,Industriel / Corporatif
A pipeline approach for the rational design of neuronal lineage conversion approaches to treat neurological disorders,2022,"Götz, Magdalena","Biomedical Center, Ludwig Maximilian University of Munich",Académique / Recherche
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Cheung, Melanie",Blackfoot Confederacy Tribal Council Health,Premières nations
Enabling novel cardiac therapies with pluripotent stem cells,2022,"Domian, Ibrahim",BlueRock Therapeutics,Industriel / Corporatif
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Ireland, Scott",Bruker Biospin Corporation,Industriel / Corporatif
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Running Wolf, Caroline",Buffalo Tongue Inc.,Industriel / Corporatif
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Lipton, Mark",Cambridge Brain Sciences,Industriel / Corporatif
Inclusive Design for Employment Access (IDEA),2020,"Haan, Maureen",Canadian Council on Rehabilitation and Work (CCRW),Organisation nationale / Internationale
Inclusive Design for Employment Access (IDEA),2020,"Brown, David",Canadian Imperial Bank of Commerce (CIBC),Banque
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Dean, Terry",Canadian Lung Association,Organisation nationale / Internationale
Inclusive Design for Employment Access (IDEA),2020,"Maria, Ash",Canadian National Institute for the Blind (CNIB),Organisation nationale / Internationale
Inclusive Design for Employment Access (IDEA),2020,"Sukhai, Mahadeo",Canadian National Institute for the Blind (CNIB),Organisation nationale / Internationale
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Lee, Sharon",Canadian Pulmonary Fibrosis Foundation,Fondation
Repurposing Marine By-Products or raw Materials for the Development and Production of Functional Foods and Bioactives to Improve Human Health and Coastal Community Sustainability,2020,"MacQuarrie, Stephanie",Cape Breton University,Académique / Recherche
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Holmes, Geoff",Carbon Engineering,Industriel / Corporatif
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Abele, Frances",Carleton University,Académique / Recherche
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Fraser, Taylor",Carleton University,Académique / Recherche
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Littlechild, Danika",Carleton University,Académique / Recherche
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Pulsifer, Peter",Carleton University,Académique / Recherche
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Papineau, Maya",Carleton University,Académique / Recherche
Inclusive Design for Employment Access (IDEA),2020,"Vukovic, Boris",Carleton University,Académique / Recherche
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Barry, Sean",Carleton University,Académique / Recherche
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Fox, Shari",Carleton University (Region 2),Académique / Recherche
Enabling novel cardiac therapies with pluripotent stem cells,2022,"Feinberg, Adam",Carnegie Mellon University,Académique / Recherche
Mend the Gap: A Transformative Biomaterials Platform for Spinal Cord Repair,2020,"Silver, Jerry",Case Western Reserve University,Académique / Recherche
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Wood, Susie",Cawthron Institute,Académique / Recherche
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Barla, Nicholas","CBCI - Office of Tribal Affairs, Indigenous Peoples Forum(Region 29)",Premières nations
A pipeline approach for the rational design of neuronal lineage conversion approaches to treat neurological disorders,2022,"del Sol, Antonio",Center for Cooperative Research in Biosciences (CIC bioGUNE),Académique / Recherche
Inclusive Design for Employment Access (IDEA),2020,"Maisel, Jordana","Center for Inclusive Design and Environmental Access/University at Buffalo, State University of New York",Académique / Recherche
Inclusive Design for Employment Access (IDEA),2020,"Farquhar, Alec",Centre de recherche sur les politiques en matiere d'invalidite professionnelle,Académique / Recherche
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"BADI, Dida","Centre de ressources de Kidal (CRK), Région de Kidal",Autre
Enabling novel cardiac therapies with pluripotent stem cells,2022,"May, Michael",Centre for Commercialization of Regenerative Medicine,Industriel / Corporatif
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"May, Michael",Centre for Commercialization of Regenerative Medicine,Industriel / Corporatif
Enabling novel cardiac therapies with pluripotent stem cells,2022,"Noiseux, Nicolas",Centre hospitalier de l'université de Montréal,Académique / Recherche
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Amira, Sofiene",Centre québécois de recherche et de développement de l'aluminium (CQRDA),Académique / Recherche
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Clark, Timothy",CentreVert Canada,Autre
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Choque Quispe, María Eugenia",Centro de Estudios Multidisciplinarios Aymara,Académique / Recherche
Inclusive Design for Employment Access (IDEA),2020,"Nord, Leah",Chambre de Commerce du Canada,Organisation nationale / Internationale
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Gandiwa, Edson",Chinhoyi University of Technology,Académique / Recherche
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Butcher, Buntika",Chulalongkorn University,Académique / Recherche
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Fishback, Leanne",Churchill Northern Studies Centre,Académique / Recherche
CANSTOREnergy: Seasonal storage of renewable energy,2022,"LeClair, Kerry",City of Hamilton,Municipalité
Enabling novel cardiac therapies with pluripotent stem cells,2022,"Chen, Chang-Yi (Vincent)",City of Hope,Académique / Recherche
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Gómez, Amaranta",Comité Internacional de Pueblos Indígenas frente al VIH/sida (Region 38),Premières nations
Inclusive Design for Employment Access (IDEA),2020,"Smallman, Victoria",Congrès du travail du Canada,Organisation nationale / Internationale
Inclusive Design for Employment Access (IDEA),2020,"Bruyere, Susanne",Cornell University,Académique / Recherche
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Arbachakov, Alexander",Council of Elders of the Shor People,Premières nations
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Reimer, Alice",Creative Destruction Lab,OBNL
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Wallenburg, John",Cystic Fibrosis Canada,Organisation nationale / Internationale
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Faro, Albert",Cystic Fibrosis Foundation,Fondation
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Pictou, Sherry",Dalhousie University,Académique / Recherche
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Zurba, Melanie",Dalhousie University,Académique / Recherche
Repurposing Marine By-Products or raw Materials for the Development and Production of Functional Foods and Bioactives to Improve Human Health and Coastal Community Sustainability,2020,"Abbey, Lord",Dalhousie University,Académique / Recherche
Repurposing Marine By-Products or raw Materials for the Development and Production of Functional Foods and Bioactives to Improve Human Health and Coastal Community Sustainability,2020,"DANA, Leo",Dalhousie University,Académique / Recherche
Repurposing Marine By-Products or raw Materials for the Development and Production of Functional Foods and Bioactives to Improve Human Health and Coastal Community Sustainability,2020,"Yurgel, Svetlana",Dalhousie University,Académique / Recherche
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Low, Mike",Deh cho First Nations (Region 5),Premières nations
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Porter, Corrine",Dena Kayeh Institute,Premières nations
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Ahnassay, James",Dene Tha' First Nation (Region 5),Premières nations
Mend the Gap: A Transformative Biomaterials Platform for Spinal Cord Repair,2020,"De Laporte, Laura",DWI - Leibniz Institute for Interactive Materials,Académique / Recherche
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Levasseur, Annie",École de Technologie Supérieure,Académique / Recherche
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Ozdemiroglu, Ece",Economics For The Environment Consultancy,Industriel / Corporatif
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Coxon, Angela",Eeyou Marine Region Wildlife Board (Region 14),Instance gouvernementale
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Valdez-Moreno, Martha Elena",El Colegio de la Frontera Sur,Académique / Recherche
Inclusive Design for Employment Access (IDEA),2020,"Saouab, Abdou",Emploi et développement social Canada,Instance gouvernementale
Rare Isotopes to Transform Cancer Therapy,2022,"Seimbille, Yann",Erasmus MC,Académique / Recherche
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Littlechild, Josh",Ermineskin Cree Nation (Region 11),Premières nations
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Deiner, Kristy",ETH Zurich,Académique / Recherche
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Reed, Marty",Evok Innovations,Industriel / Corporatif
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Zapeta, Teresa",FIMI - IIWF (Region 38),Premières nations
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Nebesky, Jennifer",Fondation canadienne du foie,Fondation
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Fernández de Larrinoa, Yon",Food and Agricultural Organization of the United Nations (FAO),Organisation nationale / Internationale
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Reece, Cleo",Fort McMurray First Nation (Region 11),Premières nations
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Lowe, Lana",Fort Nelson First Nation (Region 15),Premières nations
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Mayall, Robert",FREDSense Technologies Corporation,Industriel / Corporatif
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Roldán Cuenya, Beatriz",Fritz Haber Institute of the Max Planck Society,Académique / Recherche
Enabling novel cardiac therapies with pluripotent stem cells,2022,"Sarvazyan, Narine",George Washington University,Académique / Recherche
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Miller, Joseph",Global Biodiversity Information Facility,Organisation nationale / Internationale
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Siwik, Paula",Instance gouvernementale du Canada,Instance gouvernementale
Inclusive Design for Employment Access (IDEA),2020,"Joseph, Collinda",Instance gouvernementale du Canada,Instance gouvernementale
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Duguid, Scott",Government of Alberta,Instance gouvernementale
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Raygorodetsky, Gleb",Government of Alberta,Instance gouvernementale
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Baxter, Jennifer Fresque",Government of NWT,Instance gouvernementale
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Casimirri, Giuliana",Green Venture,OBNL
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Lord, Sarah",Gwich'in Renewable Resources Board (Region 3),Instance gouvernementale
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Snowshoe, Sharon",Gwich'in Tribal Council (Region 3),Premières nations
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Peterson, Eric",Hakai Insitute,Académique / Recherche
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Levesque, Maroussia",Harvard University,Académique / Recherche
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Ngamane, Liane",Hauraki Iwi Collective,Premières nations
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Roth, Doug",Heart & Stroke Foundation,Fondation
Enabling novel cardiac therapies with pluripotent stem cells,2022,"Lindsay, Patrice",Heart and Stroke Foundation,Fondation
Enabling novel cardiac therapies with pluripotent stem cells,2022,"Marchese, Diego",Heart and Stroke Foundation,Fondation
Enabling novel cardiac therapies with pluripotent stem cells,2022,"Haller, Christoph",Hospital for Sick Children,Hôpital
Enabling novel cardiac therapies with pluripotent stem cells,2022,"Yoo, Shi-Joon",Hospital for Sick Children,Hôpital
Enabling novel cardiac therapies with pluripotent stem cells,2022,"Valverde, Israel",Hospital Universitario Virgen del Rocio,Académique / Recherche
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Lacasse, Robert",Hydro-Quebec,Organisation nationale / Internationale
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Lacroix, Colette",IBM,Industriel / Corporatif
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"First Rider, Amethyst",Iinii Initiative,Instance gouvernementale
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Vogler, Alfried",Imperial College London,Académique / Recherche
CANSTOREnergy: Seasonal storage of renewable energy,2022,"MacDowell, Niall",Imperial College London,Académique / Recherche
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Huntington, Henry",Independent Consultant (Region 21),Autre
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Roth, Geoffrey",Indian Health for Urban Indian Programs/UNPFII (Region 37),Instance gouvernementale
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Ekka, Vincent",Indian Social Institute,ONG
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Witehira, Johnson",Indigenous Design and Innovation Aotearoa,Premières nations
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Trakansuphakon, Nutdanai",Indigenous Knowledge and Peoples Foundation (IKAP) (Region 31),Premières nations
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Courtois, Valérie",Indigenous Leadership Initiative,Premières nations
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Dennison, Brent",Insception Biosciences Inc,Industriel / Corporatif
A pipeline approach for the rational design of neuronal lineage conversion approaches to treat neurological disorders,2022,"Mattar, Pierre",Institut de recherche de l'Hôpital d'Ottawa,Académique / Recherche
Inclusive Design for Employment Access (IDEA),2020,"Graham, Ian",Institut de recherche de l'Hôpital d'Ottawa,Académique / Recherche
Rare Isotopes to Transform Cancer Therapy,2022,"Koester, Ulli",Institut Laue-Langevin (ILL),Académique / Recherche
Inclusive Design for Employment Access (IDEA),2020,"Moser, Cindy",Institute for Work & Health,Académique / Recherche
Inclusive Design for Employment Access (IDEA),2020,"Van Eerd, Dwayne",Institute for Work and Health,Académique / Recherche
Inclusive Design for Employment Access (IDEA),2020,"Irvin, Emma",Institute for Work and Health,Académique / Recherche
Inclusive Design for Employment Access (IDEA),2020,"Jetha, Arif",Institute for Work and Health,Académique / Recherche
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Pawlowski, Jan","Institute of Oceanology, Polish Academy of Sciences",Académique / Recherche
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Liu, Chenxi","Institute of Plant Protection, Chinese Academy of Agricultural Sciences",Académique / Recherche
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Gonzalez, Mailyn",Instituto de Investigación de Recursos Biológicos Alexander von Humboldt,Académique / Recherche
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Clendenning, Scott",Intel Corporation,Industriel / Corporatif
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Roe, Dilys",Interational Institute for Environment and Development,Organisation nationale / Internationale
Mend the Gap: A Transformative Biomaterials Platform for Spinal Cord Repair,2020,"Berger, Michael",International Collaboration on Repair Discoveries,Organisation nationale / Internationale
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Meinzen-Dick, Ruth",International Food Policy Research Institute,Académique / Recherche
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Swiderska, Krystyna",International Institute for Environment and Development,Organisation nationale / Internationale
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Lam, Jen",Inuvialuit Game Council (Region 1),Premières nations
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Pokiak, Frank",Inuvialuit Game Council (Region 1),Premières nations
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Itami, Ken","ITbM-WPI, Nagoya University",Académique / Recherche
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"McGraw, John",Izotropic Corporation,Industriel / Corporatif
Inclusive Design for Employment Access (IDEA),2020,"MacDonald, Michael",Jazz Aviation,Industriel / Corporatif
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Petterson, Rachel",Jernkontoret (Swedish Steel Producer's Association),Industriel / Corporatif
Mend the Gap: A Transformative Biomaterials Platform for Spinal Cord Repair,2020,"Göritz, Christian",Karolinska Institutet,Académique / Recherche
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Diallo, Aminata",Kel Tamached Nation (Region 26),Premières nations
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Charbonneau, Sylvie",Kidney Foundation of Canada,Fondation
Protection of Metallic Surfaces from Bulk to Nano Through Molecular-Level Innovation,2020,"Hedberg, Yolanda",KTH Royal Institute of Technology,Académique / Recherche
Inclusive Design for Employment Access (IDEA),2020,"Giulione, Joseph",L'Arrimage,OBNL
Inclusive Design for Employment Access (IDEA),2020,"Tobin, Steven",Labour Market Information Council,OBNL
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Cumming, Rob",Lafarge Canada Inc (East),Industriel / Corporatif
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Croxall, Matt",Lafayette Instrument Company,Industriel / Corporatif
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Southcott, Chris",Lakehead University,Académique / Recherche
Inclusive Design for Employment Access (IDEA),2020,"Kristman, Vicki",Lakehead University,Académique / Recherche
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Baker, Sarah E.",Lawrence Livermore National Laboratory,Académique / Recherche
A pipeline approach for the rational design of neuronal lineage conversion approaches to treat neurological disorders,2022,"Stricker, Stefan",LMU Munich,Académique / Recherche
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Catholique, JC",Lutsel K'e Dene First Nation (Region 6),Premières nations
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Drygeese, Dennis",Lutsel K'e Dene First Nation (Region 6),Premières nations
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Michel, Laura Jane",Lutsel K'e Dene First Nation (Region 6),Premières nations
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Gilbert, Gregor",Makivik Corporation (Region 8),Industriel / Corporatif
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Lyver, Phil",Manaaki Whenua - Landcare Research (Region 34),Académique / Recherche
Inclusive Design for Employment Access (IDEA),2020,"Fung, Francis",March of Dimes,OBNL
TRIDENT: TRanslational Initiative to DE-risk NeuroTherapeutics,2022,"Sukoff Rizzo, Stacey",MARMO-AD,
The Next Frontier in Transplantation: Ex Vivo Strategies to Repair and Rebuild Organs,2020,"Kleinstiver, Benjamin",Massachusetts General Hospital,Hôpital
Abundant Intelligences: Expanding Artificial Intelligence through Indigenous Knowledge Systems,2022,"Harrell, D. Fox",Massachusetts Institute of Technology,Académique / Recherche
BIOSCAN: Tracing the Patterns of Life on a Changing Planet,2020,"Leclerc, Yves",McCain Foods Ltd,Industriel / Corporatif
CANSTOREnergy: Seasonal storage of renewable energy,2022,"Higgins, Drew",McMaster University,Académique / Recherche
Inclusive Design for Employment Access (IDEA),2020,"Fleisig, Robert",McMaster University,Académique / Recherche
Inclusive Design for Employment Access (IDEA),2020,"Gewurtz, Rebecca",McMaster University,Académique / Recherche
Inclusive Design for Employment Access (IDEA),2020,"Moll, Sandra",McMaster University,Académique / Recherche
Inclusive Design for Employment Access (IDEA),2020,"Tompa, Emile",McMaster University,Académique / Recherche
Repurposing Marine By-Products or raw Materials for the Development and Production of Functional Foods and Bioactives to Improve Human Health and Coastal Community Sustainability,2020,"Baehre, Rainer",Memorial University,Académique / Recherche
Repurposing Marine By-Products or raw Materials for the Development and Production of Functional Foods and Bioactives to Improve Human Health and Coastal Community Sustainability,2020,"Basset, Fabian",Memorial University,Académique / Recherche
Repurposing Marine By-Products or raw Materials for the Development and Production of Functional Foods and Bioactives to Improve Human Health and Coastal Community Sustainability,2020,"Dave, Deepika",Memorial University,Académique / Recherche
Repurposing Marine By-Products or raw Materials for the Development and Production of Functional Foods and Bioactives to Improve Human Health and Coastal Community Sustainability,2020,"Reid, Brady",Memorial University,Académique / Recherche
Ărramăt: Strengthening Health and Well-Being through Indigenous-Led Conservation and Sustainable Relationships with Biodiversity,2020,"Cunsolo, Ashlee",Memorial University of Newfoundland,Académique / Recherche
Repurposing Marine By-Products or raw Materials for the Development and Production of Functional Foods and Bioactives to Improve Human Health and Coastal Community Sustainability,2020,"Blundell, Jacqueline",Memorial University of Newfoundland,Académique / Recherche
Repurposing Marine By-Products or raw Materials for the Development and Production of Functional Foods and Bioactives to Improve Human Health and Coastal Community Sustainability,2020,"Carter, Ken",Memorial University of Newfoundland,Académique / Recherche
Repurposing Marine By-Products or raw Materials for the Development and Production of Functional Foods and Bioactives to Improve Human Health and Coastal Community Sustainability,2020,"Cheema, Mumtaz",Memorial University of Newfoundland,Académique / Recherche
Repurposing Marine By-Products or raw Materials for the Development and Production of Functional Foods and Bioactives to Improve Human Health and Coastal Community Sustainability,2020,"Cheema, Sukhinder",Memorial University of Newfoundland,Académique / Recherche
Repurposing Marine By-Products or raw Materials for the Development and Production of Functional Foods and Bioactives to Improve Human Health and Coastal Community Sustainability,2020,"Doody, Karen",Memorial University of Newfoundland,Académique / Recherche
Repurposing Marine By-Products or raw Materials for the Development and Production of Functional Foods and Bioactives to Improve Human Health and Coastal Community Sustainability,2020,"Galagedara, Lakshman",Memorial University of Newfoundland,Académique / Recherche
Repurposing Marine By-Products or raw Materials for the Development and Production of Functional Foods and Bioactives to Improve Human Health and Coastal Community Sustainability,2020,"Hawboldt, Kelly",Memorial University of Newfoundland,Académique / Recherche
